step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
98,0.98,5.67859,0.44957,5.71508,0.438089,-0.593412
99,0.99,5.76134,0.444841,5.71998,0.433417,-0.593669
100,1,5.71893,0.435534,5.7243,0.428239,-0.593842
101,1.01,5.73143,0.392991,5.72833,0.419518,-0.593809
102,1.02,5.66796,0.404478,5.73175,0.412627,-0.593807
103,1.03,5.7058,0.398652,5.73547,0.405884,-0.593842
104,1.04,5.76152,0.395819,5.73969,0.399584,-0.593948
105,1.05,5.75257,0.393632,5.74375,0.393655,-0.594057
106,1.06,5.74413,0.372033,5.74748,0.386219,-0.594059
107,1.07,5.75553,0.381655,5.75137,0.380415,-0.594158
108,1.08,5.72075,0.369641,5.75477,0.373967,-0.594175
109,1.09,5.78721,0.35285,5.75863,0.366622,-0.594194
110,1.1,5.80423,0.37915,5.76282,0.362493,-0.594407
111,1.11,5.67767,0.377881,5.76575,0.358455,-0.594498
112,1.12,5.76222,0.319731,5.76896,0.349385,-0.594365
113,1.13,5.80355,0.339878,5.77269,0.343145,-0.594426
114,1.14,5.69437,0.342284,5.77537,0.337571,-0.594415
115,1.15,5.75032,0.303595,5.77821,0.328923,-0.594267
116,1.16,5.8058,0.312164,5.7816,0.321986,-0.594259
117,1.17,5.82407,0.27688,5.78481,0.312375,-0.5941
118,1.18,5.73929,0.282939,5.78726,0.304133,-0.593933
119,1.19,5.82183,0.332404,5.79085,0.301489,-0.59416
120,1.2,5.86091,0.326176,5.7947,0.298552,-0.594398
121,1.21,5.80237,0.268762,5.79749,0.290348,-0.594267
122,1.22,5.72756,0.297045,5.79984,0.285506,-0.594259
123,1.23,5.81162,0.275586,5.8027,0.279198,-0.59423
124,1.24,5.77324,0.276404,5.80521,0.27351,-0.594197
125,1.25,5.74153,0.242752,5.80713,0.265117,-0.593969
126,1.26,5.81883,0.276697,5.80998,0.260855,-0.594041
127,1.27,5.79615,0.221999,5.81214,0.251763,-0.593802
128,1.28,5.84129,0.268052,5.81504,0.247975,-0.593903
129,1.29,5.81805,0.254098,5.8176,0.243183,-0.593919
130,1.3,5.83976,0.230154,5.82011,0.236598,-0.593841
131,1.31,5.8916,0.232899,5.82304,0.230968,-0.593852
132,1.32,5.88966,0.221529,5.82582,0.224787,-0.593821
133,1.33,5.88473,0.20468,5.82838,0.217581,-0.593717
134,1.34,5.81531,0.21292,5.83041,0.211744,-0.593628
135,1.35,5.81199,0.216037,5.83242,0.206751,-0.59358
136,1.36,5.83248,0.206226,5.83449,0.201327,-0.593515
137,1.37,5.84434,0.217969,5.83673,0.197549,-0.593551
138,1.38,5.86034,0.171957,5.83868,0.189775,-0.593357
139,1.39,5.90241,0.192326,5.84111,0.184735,-0.593348
140,1.4,5.89897,0.196481,5.84352,0.18056,-0.59338
141,1.41,5.9726,0.218488,5.84668,0.178974,-0.593616
142,1.42,5.88933,0.175369,5.84877,0.173317,-0.593543
143,1.43,5.94401,0.108673,5.85068,0.161932,-0.593165
144,1.44,5.85452,0.204213,5.85271,0.160586,-0.593301
145,1.45,5.82958,0.17535,5.85428,0.156586,-0.593258
146,1.46,5.85262,0.146801,5.85576,0.150283,-0.59309
147,1.47,5.93574,0.181911,5.85816,0.148032,-0.593217
148,1.48,5.80845,0.142456,5.85923,0.142062,-0.593026
149,1.49,5.90856,0.0958745,5.86062,0.132373,-0.592681
150,1.5,5.88809,0.131988,5.86216,0.127009,-0.592566
151,1.51,5.79214,0.115444,5.86282,0.120447,-0.592305
152,1.52,5.89106,0.121264,5.86426,0.115203,-0.592186
153,1.53,5.87472,0.0939798,5.86531,0.10784,-0.591923
154,1.54,5.9275,0.117816,5.86695,0.103518,-0.59187
155,1.55,5.83066,0.0593706,5.86734,0.0939126,-0.59143
156,1.56,5.93868,0.0858029,5.86874,0.0878889,-0.591269
157,1.57,5.86739,0.0800175,5.86956,0.081787,-0.591045
158,1.58,5.80982,0.0681361,5.86985,0.0750553,-0.590737
159,1.59,5.776,0.0758927,5.86996,0.0696555,-0.590478
160,1.6,5.78234,0.0918936,5.87025,0.0663011,-0.59034
161,1.61,5.88106,0.0676621,5.87102,0.0611026,-0.590157
162,1.62,5.87872,0.0513374,5.87162,0.0548439,-0.589904
163,1.63,5.90618,0.0528941,5.87241,0.0493684,-0.589709
164,1.64,5.85573,0.0780765,5.87306,0.0467364,-0.589643
165,1.65,5.88334,0.0202345,5.87338,0.0388953,-0.589283
166,1.66,5.90298,0.0304446,5.87392,0.0328007,-0.589032
167,1.67,5.90789,0.0444361,5.8746,0.028624,-0.588891
168,1.68,5.94998,0.0184629,5.87533,0.0224355,-0.588655
169,1.69,5.82613,-0.00281134,5.87502,0.0146386,-0.588234
170,1.7,5.82157,0.00597783,5.87475,0.0084162,-0.587896
171,1.71,5.94595,-0.0724327,5.87462,-0.00448813,-0.587238
172,1.72,5.86694,0.00242113,5.87461,-0.00915633,-0.587003
173,1.73,5.83714,-0.0366344,5.87405,-0.0171333,-0.586548
174,1.74,5.78488,-0.0374946,5.87313,-0.024503,-0.586088
175,1.75,5.9335,-0.0156484,5.87338,-0.028879,-0.585895
176,1.76,5.85218,0.0160795,5.87338,-0.0299371,-0.585841
177,1.77,5.93137,-0.0395494,5.8734,-0.0360695,-0.585537
178,1.78,5.84638,-0.0572627,5.8727,-0.0434207,-0.585099
179,1.79,5.93149,-0.0535688,5.87258,-0.0495958,-0.584779
180,1.8,5.81107,-0.0363323,5.87183,-0.0537138,-0.584498
181,1.81,5.92833,-0.0533317,5.87169,-0.0588856,-0.584225
182,1.82,5.78559,-0.0541679,5.87062,-0.0638458,-0.58387
183,1.83,5.87731,-0.0473124,5.8702,-0.0675474,-0.583642
184,1.84,5.81047,-0.0526483,5.8693,-0.0714969,-0.583355
185,1.85,5.86245,-0.0680034,5.8686,-0.0764525,-0.583037
186,1.86,5.81924,-0.104864,5.8673,-0.0844986,-0.582505
187,1.87,5.8095,-0.0765743,5.86619,-0.0890978,-0.582164
188,1.88,5.83424,-0.136095,5.86471,-0.0988776,-0.581527
